resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
36,4611,1645,36977,94,40,10,02:56,外滩SOHO Showcase,https://www.djivideos.com/video_play/32a4db13-bc26-4941-8578-4b064ad958a1
2,19,64,2608,48,13,4,01:37,The Sahara Desert from a bird's-eye view!,https://www.djivideos.com/video_play/cfbf38c8-6c12-4318-8f77-95710f220bfe
184,8805,3769,3593,66,26,9,03:17,中年派的奇幻漂流 | 围城随笔,https://www.djivideos.com/video_play/31ddd7e6-beab-4311-88cd-9319f726f2e3
5,511,329,40060,187,70,36,04:13,Himalaya - Mountain of Gods,https://www.djivideos.com/video_play/af3db847-0740-4254-9451-cbfb2210fb7c
5,137,69,97872,140,8,16,02:13,Vibra de calle - El Camino,https://www.djivideos.com/video_play/07a1f4b7-a25c-49d7-add0-451e6b104d5e
34,58,73,23806,56,12,6,02:34,"Anous stolidus, Sterna fuscata and Sterluna antillarum nesting in Montecristi, Domincan Republic.",https://www.djivideos.com/video_play/cc922e80-2f7a-4797-9407-3175df076d5d
9,447,512,38124,162,56,14,02:54,Paradiso by Eman Al Adsani,https://www.djivideos.com/video_play/79695b7d-767d-4a17-bffc-6d91c6f1c765
5,55,66,21537,80,29,4,02:02,Iceland,https://www.djivideos.com/video_play/57060b8f-2465-4d77-b1c4-eb50cf1ee79c
72,132,198,20908,65,16,5,03:19,Capchure / Winter,https://www.djivideos.com/video_play/8923e1c6-80c0-4485-949b-f81ca61f38bf
7,267,300,29184,93,44,28,03:26,亚美尼亚 To go 2丨外高加索中的战斗民族,https://www.djivideos.com/video_play/48862146-b625-4c8d-ad1b-38a6c79e772e
23,540,953,3465,49,14,6,03:29,O Homem do Campo,https://www.djivideos.com/video_play/65077ea2-5cf5-48ff-838a-68e2bd47aaf7
35,1038,1108,32778,156,46,17,03:36,Skate Australia - Perth,https://www.djivideos.com/video_play/36c6532c-9d5a-4848-82bc-b6f5696c79e2
113,492,971,36984,182,43,18,04:37,Flying across Australia,https://www.djivideos.com/video_play/0ab3aed4-46fa-4540-ac42-3edf43d2f5b7
2,25,62,1280,24,8,4,02:38,A high coast vacation.mp4,https://www.djivideos.com/video_play/e79d3a74-ccbd-4b3d-b4ec-c1e691547b7d
2,40,127,2394,46,17,3,02:29,云海中的小城盘州市,https://www.djivideos.com/video_play/e25011b6-5184-40d1-b6a4-f2276d904789
2,40,127,3348,36,15,7,04:35,心醉乌蒙.mp4,https://www.djivideos.com/video_play/fb1549eb-0ab7-4a33-b812-75e75c3a4492
65,1632,1788,17980,153,58,25,01:02,Run Ibiza!,https://www.djivideos.com/video_play/771edf7d-90de-48f0-b35c-16886aa61324
121,954,1650,35425,96,32,6,03:49,冰川－遇见世界尽头,https://www.djivideos.com/video_play/217d05fb-5a04-4d8c-a788-ebef2e796b1f
121,954,1650,35772,107,38,8,04:02,攀登那玛峰（4min）,https://www.djivideos.com/video_play/7fa706f9-db83-4288-b099-74b57d6f2ecf
2,218,149,3370,47,8,3,04:17,INTO AFRICA 非洲·津巴布韦,https://www.djivideos.com/video_play/cf03b794-00ea-44d7-b8af-7802c255e470
2,21,75,2177,31,10,2,02:40,Climbing & Majestic mountains,https://www.djivideos.com/video_play/1b94dae8-e64d-4353-b20c-61af1d4520f7
1,28,64,1160,33,11,3,02:39,"Melaque, México",https://www.djivideos.com/video_play/29d336a1-a8a5-4f19-a287-56d12497a441
40,939,735,34192,158,42,20,00:48,HighFlyingRunner: June 2017,https://www.djivideos.com/video_play/8007ae71-1955-4159-a47d-d76457264327
1,25,65,2303,53,14,0,02:01,MEXICO: El Saltito Beach. La Paz BCS,https://www.djivideos.com/video_play/350575e8-aa2d-4655-9642-f5ed700e9120
1,27,63,2599,39,10,3,02:18,JEJU IN 4K,https://www.djivideos.com/video_play/05192261-a76c-42aa-a418-737eb9adfcbd
23,180,201,32274,106,30,19,05:03,Northwest China,https://www.djivideos.com/video_play/73a0c21d-4718-40b3-b266-bac3e22a061c
40,595,1024,2390,49,9,5,02:23,Trip to Palau,https://www.djivideos.com/video_play/fdc262b3-f322-4eaa-bf50-bbdad4c4ae11
74,4608,963,35092,87,16,20,02:12,独库独库.mp4,https://www.djivideos.com/video_play/ff66788a-8665-4618-8c84-c79ffc1dd278
1,61,72,33907,152,48,16,04:15,New Zealand Road Trip,https://www.djivideos.com/video_play/a9be704b-c621-4f76-a409-4330b5108b1a
15,182,367,29598,137,33,6,02:18,EXTREME HIGHLINE BRASIL - VINICIUS CAUHY,https://www.djivideos.com/video_play/c70b9970-aafa-40bd-96fa-c9f9a163c758
51,135,302,2521,26,10,1,07:44,天空之城 - Drone My Life,https://www.djivideos.com/video_play/997b010f-8374-4d38-b5d2-79c3ed46beed
184,8805,3769,22193,119,69,24,18:09,以下犯上? 大疆spark大战Mavic,https://www.djivideos.com/video_play/9763305b-d5c0-4f7c-85da-a21c7140468b
14,44,253,2078,39,19,7,04:01,Portugal: On the Edge of the World,https://www.djivideos.com/video_play/9ad0bb44-73c4-44ec-a42c-be36cc57fcc2
3,35,66,5362,51,9,2,02:09,Canadian Nature,https://www.djivideos.com/video_play/4c0186b1-c80d-46f4-bdf2-98904dc0836a
13,210,240,3183,49,15,2,01:36,我的川西行·色达&稻城亚丁,https://www.djivideos.com/video_play/f158eac5-39d8-4c4f-99b2-5ff1e13fcad3
25,274,626,10794,44,5,7,00:18,PRO SKIERS,https://www.djivideos.com/video_play/eacabecc-ca12-4fc2-978d-e8cd247ff87f
27,247,1509,31318,168,52,8,03:07,Sleeping valley sunrise / Frafjord  / Norway,https://www.djivideos.com/video_play/46143799-a4db-4ee6-b8fb-484f1adea465
3,34,64,2894,45,10,1,03:01,Spain by Drone,https://www.djivideos.com/video_play/9c6e6921-2814-4241-922d-2f3e0bba74cf
6,48,72,3529,58,40,14,01:56,OSMO游记之我眼中的香港.mov,https://www.djivideos.com/video_play/4518c217-1be1-468d-8979-a65594876b8d
16,154,491,32247,170,29,17,04:37,Lake Tahoe special,https://www.djivideos.com/video_play/2f0e6766-c887-425f-a657-fd88623a41fa
23,86,320,28892,91,12,9,02:37,The Glass Window ,https://www.djivideos.com/video_play/44bc3576-ed61-4dd2-bf97-cc9e6e954496
13,210,240,23845,78,26,13,03:00,泰国/泰北自驾之行Chiang Mai	,https://www.djivideos.com/video_play/5f656abd-24cd-421e-8790-62b57e2830ca
8,78,249,20959,69,14,5,03:33,Premiere Flight Through Mountain Hole in Swiss Tectonic Arena,https://www.djivideos.com/video_play/d7469d07-9296-41d6-b352-d5c1a1d8f773
5,259,369,25234,100,45,15,03:50,Sunshine,https://www.djivideos.com/video_play/f2cb5a9d-27e2-4556-91ca-303b21c4acae
121,954,1650,40092,131,61,33,15:30,攀登那玛峰,https://www.djivideos.com/video_play/73df2c6d-1505-4837-b6d6-10b8a95ae954
10,104,272,34618,122,20,12,05:01,Follow YuYan On the Trip（Europe）Part 1,https://www.djivideos.com/video_play/1eebc207-78a4-425d-8d49-bb3e9f561ccd
1,135,68,28484,145,60,11,02:30,Bali The island of Gods,https://www.djivideos.com/video_play/d1c8c682-8b37-4c24-933c-e19e4bf14a95
3,81,69,28534,132,54,13,03:16,《A better way》纪念第一部电影的勘景,https://www.djivideos.com/video_play/24a7b7c8-c6cc-4fe8-aadb-06beea4f5329
